ImageNumber,ObjectNumber,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,Intensity_MedianIntensity_CDX2,Intensity_MedianIntensity_CK20,Intensity_MedianIntensity_CK7,Intensity_MedianIntensity_DAPI,Intensity_MedianIntensity_Ki67,Intensity_MedianIntensity_PanCK
1,49,88,2086,475,2078,464,0.3019607961177826,0.03529411926865578,0.06666667014360428,0.4372548907995224,0.2294117733836174,0.0
1,50,49,551,472,544,465,0.48823530972003937,0.4745097756385803,0.707843154668808,0.6176470816135406,0.4117647111415863,0.427450954914093
1,51,238,569,482,555,465,0.05882352590560913,0.2705882489681244,0.037254903465509415,0.6019608080387115,0.0,0.0
1,52,56,1623,492,1615,485,0.3176470398902893,0.23529410362243652,0.003921568859368563,0.43529412150382996,0.0,0.0
1,53,208,1447,506,1434,490,0.3647059202194214,0.003921568859368563,0.0,0.5137255191802979,0.0,0.003921568859368563
1,54,54,1131,502,1122,496,0.35686275362968445,0.0,0.0,0.3490195870399475,0.0470588244497776,0.0
1,55,42,1481,515,1475,508,0.3176470398902893,0.0941176488995552,0.0,0.43921566009521484,0.0,0.062745101749897
1,56,28,1494,523,1490,516,0.0784313753247261,0.2705882489681244,0.0,0.41960784792900085,0.0470588244497776,0.04313725605607033
1,57,49,946,522,939,515,0.3921568691730499,0.0313725508749485,0.0,0.3843137323856354,0.0,0.0
1,58,180,1438,538,1426,523,0.35686275362968445,0.0,0.0,0.43529412150382996,0.0,0.0
1,59,56,2034,541,2026,534,0.239215686917305,0.029411764815449715,0.0,0.386274516582489,0.30000001192092896,0.0
1,60,90,2043,544,2034,534,0.35686275362968445,0.03529411926865578,0.0,0.46666666865348816,0.08431373164057732,0.0
1,61,77,22,557,15,546,0.4117647111415863,0.003921568859368563,0.0,0.42352941632270813,0.09019607305526733,0.003921568859368563
1,62,48,2061,572,2055,564,0.25294119119644165,0.0019607844296842813,0.0,0.42549020051956177,0.41960784792900085,0.0
1,63,228,1895,584,1883,565,0.32549020648002625,0.003921568859368563,0.0,0.4901960790157318,0.0,0.0313725508749485
1,64,35,1886,582,1881,575,0.3450980484485626,0.19607843458652496,0.0,0.4588235020637512,0.0,0.027450978755950928
1,65,40,1491,605,1483,600,0.250980406999588,0.04313725605607033,0.0,0.427450954914093,0.0,0.06666667014360428
1,66,64,1870,614,1862,606,0.3294118046760559,0.23529410362243652,0.0,0.5058823823928833,0.0,0.3490195870399475
1,67,54,218,636,209,630,0.35098040103912354,0.015686273807659745,0.0,0.3274510055780411,0.0,0.0
1,68,90,1915,645,1906,635,0.0,0.0313725508749485,0.0,0.3921568691730499,0.0,0.0313725508749485
1,69,168,1525,662,1513,648,0.2980392277240753,0.027450978755950928,0.0,0.5058823823928833,0.0,0.007843137718737125
1,70,56,92,662,85,654,0.36078429222106934,0.20588234812021255,0.0,0.3705882430076599,0.0,0.05294117517769337
1,71,135,1934,672,1919,663,0.0627450980246067,0.14705882966518402,0.0,0.4529411643743515,0.029411764815449715,0.11764705181121826
1,72,30,1457,692,1452,686,0.32549022138118744,0.027450978755950928,0.0,0.3901960849761963,0.0,0.06470588222146034
1,73,35,1523,692,1516,687,0.29411765933036804,0.06666666828095913,0.0,0.47058820724487305,0.0,0.09803921729326248
1,74,81,1504,701,1495,692,0.1725490242242813,0.03921568766236305,0.0,0.47843137383461,0.0,0.24705880880355835
